,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Maximum Temperature,Wind Speed
101,92,BR,1583382538,99,-21.73,-43.06,22.22,0.89
102,0,AU,1583382538,19,-25.24,130.99,30.0,4.6
103,100,AR,1583382344,78,-43.3,-65.1,20.33,1.24
104,100,RU,1583382538,92,65.61,72.68,-17.82,12.31
105,100,PG,1583382539,63,-6.02,144.97,20.23,1.45
106,85,PH,1583382539,60,12.12,119.85,29.8,1.07
107,20,CA,1583382539,69,62.46,-114.35,-23.89,2.1
108,75,IT,1583382539,76,39.17,8.52,11.0,2.6
109,0,ZA,1583382539,80,-33.59,26.89,21.67,2.68
110,40,PG,1583382319,74,-9.44,147.18,31.0,4.1
111,0,CL,1583382539,87,-45.58,-72.07,12.0,2.1
112,100,ID,1583382416,75,4.14,96.13,28.74,4.79
113,75,AU,1583382540,50,-23.7,133.88,25.0,4.6
114,20,BR,1583382540,100,-27.61,-48.5,22.22,3.1
115,99,RU,1583382540,98,71.97,102.5,-23.59,4.88
116,42,SS,1583382540,17,7.7,28.0,22.62,2.37
117,0,GL,1583382455,58,60.14,-45.24,-5.79,2.94
118,0,CN,1583382541,44,31.81,121.66,10.0,0.89
119,1,US,1583382541,52,57.79,-152.41,-8.0,7.2
120,1,CK,1583382541,79,-21.21,-159.78,29.0,3.1
121,40,MU,1583382541,94,-20.52,57.52,27.22,3.1
122,0,NZ,1583382541,70,-46.28,169.85,11.82,3.94
123,0,CN,1583382541,59,47.87,88.12,-9.31,1.15
124,4,MG,1583382541,81,-25.17,45.05,20.46,6.67
125,0,ZA,1583382542,73,-34.05,23.37,19.87,2.09
126,40,MZ,1583382542,78,-23.86,35.38,22.0,2.1
127,100,RU,1583382542,92,57.02,82.07,-3.5,3.89
128,100,RU,1583382542,84,60.38,92.63,-4.89,4.83
129,20,PT,1583382542,82,33.08,-16.33,17.0,3.6
130,78,PG,1583382542,64,-2.57,150.8,29.57,2.82
131,61,EC,1583382543,100,-0.74,-90.35,25.56,0.34
132,0,RU,1583382543,66,69.7,170.31,-16.48,3.79
133,0,LY,1583382543,76,31.45,12.98,8.5,5.05
134,0,BO,1583382543,69,-17.78,-57.77,22.31,1.04
135,20,PT,1583382297,71,37.72,-25.43,13.89,3.1
136,92,UA,1583382543,78,51.0,32.0,8.82,4.72
137,0,GL,1583382543,50,60.92,-46.05,-14.0,1.5
138,100,ID,1583382544,85,-7.75,112.01,24.57,0.22
139,40,AU,1583382544,49,-15.77,128.73,32.0,4.1
140,20,LV,1583382544,93,57.0,24.08,3.0,2.6
141,100,ZA,1583382544,82,-34.53,20.04,20.0,1.5
142,83,NO,1583382544,72,70.98,25.97,-8.0,10.3
143,0,NA,1583382544,88,-22.96,14.51,20.56,3.1
144,0,RU,1583382544,74,68.53,146.42,-17.64,1.63
145,20,BR,1583382545,88,-7.47,-34.81,26.0,1.0
146,40,BG,1583382545,76,42.1,27.95,12.0,2.1
147,0,RU,1583382545,79,62.88,152.43,-15.59,5.93
148,100,FR,1583382545,93,48.58,-4.0,12.0,8.2
149,1,US,1583382322,56,39.18,-84.53,6.67,4.1
150,90,AU,1583382545,58,-25.3,152.85,32.22,5.7
151,40,RE,1583382545,83,-21.36,55.77,30.0,0.3
152,97,GB,1583382546,93,60.4,-1.35,5.0,4.6
153,75,CA,1583382545,85,55.1,-105.28,-6.0,2.1
154,100,RU,1583382546,95,53.07,105.51,-6.92,2.63
155,1,US,1583382546,58,38.42,-121.42,18.33,1.69
156,1,US,1583382546,57,38.89,-76.51,11.67,4.18
157,1,US,1583382546,64,42.08,-72.03,6.11,6.7
158,98,RU,1583382547,90,47.15,134.34,-5.93,3.69
159,90,RU,1583382547,86,59.7,30.79,5.0,4.0
160,84,GH,1583382547,94,4.88,-1.76,25.65,1.54
161,1,US,1583382547,81,35.36,-86.21,12.0,2.1
162,10,NZ,1583382547,46,-39.48,175.67,18.72,3.14
163,0,EG,1583382547,14,26.77,31.5,16.0,2.1
